"bund_nr","datum","beart","besttyp","struktur","schlussgrad_schi1","schlussgrad_schi2","mischung","team","hbi_status","pk1_aufnahme","pk2_aufnahme","pk3_aufnahme","geraet","beschreibungbestockung","anmerkung"
32020,"2022-02-09",1,8,1,"6",5,1,-9,-9,1,1,3,-9,-9,NA
34010,"2021-10-12",1,1,1,"3",NA,1,-9,-9,1,1,3,-9,-9,NA
32010,"2022-04-20",1,8,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
32050,"2022-05-05",1,8,1,"4",NA,1,-9,-9,1,1,3,-9,-9,NA
32070,"2022-07-04",1,8,1,"2",NA,2,-9,-9,1,1,3,-9,-9,NA
32090,"2022-06-27",1,8,1,"5",NA,1,-9,-9,1,1,3,-9,-9,NA
32080,"2022-07-12",1,8,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
33050,"2022-08-08",1,8,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
33010,"2022-08-10",1,8,NA,NA,NA,NA,-9,-9,1,1,3,-9,-9,NA
34030,"2022-08-24",1,1,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
34040,"2022-09-14",1,1,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
34020,"2022-09-13",1,2,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
33040,"2022-09-06",1,8,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
29080,"2022-10-12",1,1,1,"5",NA,1,-9,-9,1,1,3,-9,-9,NA
29090,"2022-10-11",1,2,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
35500,"2022-10-19",1,8,1,"4",NA,1,-9,-9,1,1,3,-9,-9,NA
27040,"2023-02-13",1,8,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
27011,"2023-02-08",1,1,1,"2",NA,4,-9,-9,1,1,3,-9,-9,NA
26010,"2023-02-06",1,8,1,"2",NA,2,-9,-9,1,1,3,-9,-9,NA
26020,"2023-02-06",1,8,1,"2",NA,2,-9,-9,1,1,3,-9,-9,NA
26030,"2023-02-14",1,8,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
21030,"2023-05-01",1,8,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
21020,"2023-05-04",1,8,1,"2",6,2,-9,-9,1,1,3,-9,-9,NA
23061,"2023-06-06",1,8,1,"1",NA,1,-9,-9,1,1,3,-9,-9,NA
23060,"2023-06-06",1,1,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
23150,"2023-06-29",1,9,6,"6",6,2,-9,-9,1,1,3,-9,-9,NA
23170,"2023-06-28",1,2,1,"6",NA,2,-9,-9,1,1,3,-9,-9,NA
25100,"2023-07-04",1,8,1,"5",NA,2,-9,-9,1,1,3,-9,-9,NA
28040,"2023-08-09",1,8,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
36041,"2023-08-22",1,1,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
36010,"2023-08-23",1,1,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
23110,"2023-09-12",1,2,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
23090,"2023-09-11",1,2,1,"4 / 6",NA,1,-9,-9,1,1,3,-9,-9,NA
36020,"2024-04-23",1,2,1,"5",NA,1,-9,-9,1,1,3,-9,-9,NA
28100,"2024-06-04",1,2,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
28130,"2024-06-02",2,1,6,NA,NA,1,-9,-9,1,1,3,-9,-9,NA
28021,"2024-06-01",1,1,1,"1",NA,1,-9,-9,1,1,3,-9,-9,NA
28160,"2023-05-31",1,2,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
28120,"2024-05-30",1,1,6,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
23070,"2024-06-18",1,8,1,"2",NA,2,-9,-9,1,1,3,-9,-9,NA
23081,"2024-06-17",1,2,1,"2",NA,1,-9,-9,1,1,3,-9,-9,NA
36030,"2024-08-19",1,1,1,"6",NA,1,-9,-9,1,1,3,-9,-9,NA
