"bund_nr","anmerkung","datum","team","status","re_form","re_lage","neigung","exposition"
"32020","Mittelpunkt BE","2022-02-09",-9,-9,-9,-9,-9,-9
"34010_2","Mittelpunkt BE 2","2021-10-12",-9,-9,-9,-9,-9,-9
"34010","Mittelpunkt","2021-10-12",-9,-9,-9,-9,-9,-9
"34010_1","Mittelpunkt BE 1","2021-10-12",-9,-9,-9,-9,-9,-9
"32050","Mittelpunkt BE","2022-05-05",-9,-9,-9,-9,-9,-9
"32070","Mittelpunkt BE","2022-07-04",-9,-9,-9,-9,-9,-9
"32090","Mittelpunkt BE","2022-06-27",-9,-9,-9,-9,-9,-9
"32080","Mittelpunkt BE","2022-07-12",-9,-9,-9,-9,-9,-9
"33050","Mittelpunkt BE","2022-08-08",-9,-9,-9,-9,-9,-9
"33010","Mittelpunkt BE","2022-08-10",-9,-9,-9,-9,-9,-9
"34030","Mittelpunkt BE","2022-08-24",-9,-9,-9,-9,-9,-9
"34040","Mittelpunkt BE","2022-09-14",-9,-9,-9,-9,-9,-9
"34020","Mittelpunkt BE","2022-09-13",-9,-9,-9,-9,-9,-9
"33040","Mittelpunkt BE","2022-09-06",-9,-9,-9,-9,-9,-9
"29080","Mittelpunkt BE","2022-10-12",-9,-9,-9,-9,-9,-9
"29090","Mittelpunkt BE","2022-10-11",-9,-9,-9,-9,-9,-9
"35500","Mittelpunkt BE","2022-10-19",-9,-9,-9,-9,-9,-9
"27040","Mittelpunkt BE","2023-02-13",-9,-9,-9,-9,-9,-9
"27011","Mittelpunkt BE","2023-02-08",-9,-9,-9,-9,-9,-9
"26010","Mittelpunkt BE","2023-02-06",-9,-9,-9,-9,-9,-9
"26020","Mittelpunkt BE","2023-02-06",-9,-9,-9,-9,-9,-9
"26030","Mittelpunkt BE","2023-02-14",-9,-9,-9,-9,-9,-9
"21030","Mittelpunkt BE","2023-05-01",-9,-9,-9,-9,-9,-9
"21020","Mittelpunkt BE","2023-05-04",-9,-9,-9,-9,-9,-9
"23061","Mittelpunkt BE","2023-06-06",-9,-9,-9,-9,-9,-9
"23060","Mittelpunkt BE","2023-06-06",-9,-9,-9,-9,-9,-9
"23150","Mittelpunkt BE","2023-06-29",-9,-9,-9,-9,-9,-9
"23170","Mittelpunkt BE","2023-06-28",-9,-9,-9,-9,-9,-9
"25100","Mittelpunkt BE","2023-07-04",-9,-9,-9,-9,-9,-9
"25080","Mittelpunkt BE",NA,-9,-9,-9,-9,-9,-9
"28040","Mittelpunkt BE","2023-08-09",-9,-9,-9,-9,-9,-9
"36041","Mittelpunkt BE","2023-08-22",-9,-9,-9,-9,-9,-9
"36010","Mittelpunkt BE","2023-08-23",-9,-9,-9,-9,-9,-9
"23110","Mittelpunkt BE","2023-09-12",-9,-9,-9,-9,-9,-9
"23090","Mittelpunkt BE","2023-09-11",-9,-9,-9,-9,-9,-9
"36020","Mittelpunkt BE","2024-04-23",-9,-9,-9,-9,-9,-9
"28100","Mittelpunkt BE","2024-06-04",-9,-9,-9,-9,-9,-9
"28130","Mittelpunkt BE","2024-06-02",-9,-9,-9,-9,-9,-9
"28160","Mittelpunkt BE","2023-05-31",-9,-9,-9,-9,-9,-9
"28120","Mittelpunkt BE","2024-05-30",-9,-9,-9,-9,-9,-9
"23070","Mittelpunkt BE","2024-06-18",-9,-9,-9,-9,-9,-9
"36030","Mittelpunkt BE","2024-08-19",-9,-9,-9,-9,-9,-9
