"bfhnr","rw_med","hw_med"
80001,3404104.02559522,5271568.41413431
80003,3411891.28881138,5280275.30252816
80008,3420110.51010524,5271706.25593144
80009,3419936.64017054,5279590.88984158
80010,3420246.57553677,5287611.09443203
80011,3419955.76379032,5296039.89112248
80012,3419674.76297031,5303788.44843056
80013,3420019.34873547,5312033.21863936
80019,3428223.76092586,5272243.07595694
80020,3427984.71832239,5280015.97030233
80021,3428026.57301015,5288077.18532118
80022,3427986.0916357,5303974.67646911
80023,3428016.9507616,5311984.66254867
80024,3428128.85653398,5327768.6719453
80031,3435673.62192964,5296360.61611236
80032,3436361.86160674,5303906.71326231
80033,3436143.04498252,5312325.83867029
80034,3435957.82519628,5319959.6341697
80035,3435680.33931168,5328419.50232951
80036,3436012.65803178,5335948.19223666
80037,3435996.8856941,5344085.99166417
80040,3436074.67799133,5384171.48553943
80042,3444019.40327013,5303978.97665222
80043,3444028.51435464,5312014.24583727
80044,3444102.44228731,5319766.71677051
80045,3443825.61235694,5328181.42101726
80046,3444074.65328083,5335935.05648132
80051,3444050.87989331,5375958.07778862
80052,3444133.72689579,5383962.47579164
80053,3444054.90394055,5391739.21900959
80054,3444007.72459195,5399986.62127445
80057,3451809.98100161,5304180.91613707
80058,3452015.85777838,5320062.53328056
80060,3451972.08954511,5352061.51893838
80061,3452063.16996018,5360060.93239168
80062,3451886.65043877,5368172.78134902
80063,3452216.15519836,5376249.81575384
80064,3451806.81432269,5383809.93171471
80065,3451797.34929809,5392136.10937344
80066,3451558.6164749,5399639.85361581
80068,3460062.03949691,5351749.86872956
80071,3460044.90159563,5375969.89060376
80072,3459961.66316878,5384032.15713222
80073,3460011.13705676,5392005.65902143
80074,3459997.20576222,5400037.96135133
80075,3459760.89383979,5407812.09970607
80076,3460122.22639776,5416247.51391793
80078,3467998.93369806,5351989.4300389
80080,3467760.48577523,5375599.80728221
80081,3468412.73050438,5392125.63981973
80082,3467945.69409916,5400051.68031698
80083,3467956.90916781,5407944.59143409
80084,3475949.50381052,5335978.80590265
80085,3476243.61569554,5367755.90544555
80086,3475610.30224119,5383920.48951473
80087,3476348.53782068,5399735.06575669
80088,3475856.99861217,5408011.3044854
80089,3476394.62165554,5432129.98317172
80091,3484327.20090134,5336017.58527632
80092,3484378.77384944,5367990.73978351
80093,3484412.52332697,5383801.64844657
80094,3483631.89206064,5399770.87951985
80095,3484182.50127025,5415657.09000766
80098,3492097.79375352,5319735.88178847
80099,3492258.63455421,5336432.69543008
80100,3499794.22108505,5352069.94794316
80101,3500441.92028734,5367753.28060534
80102,3500009.28809231,5384000.06880501
80103,3499992.05866946,5399976.49986398
80104,3500270.96734711,5431781.35699786
80105,3499848.00884747,5448178.96047534
80107,3507894.40575864,5351648.82029931
80115,3515891.56639141,5351663.09012281
80123,3532420.16003287,5352093.30301565
80124,3531668.56787746,5367849.32841779
80132,3540123.4754322,5351823.08975141
80151,3563819.81088906,5384048.35683236
80158,3572248.84129966,5384363.437328
80173,3588023.38956809,5383604.63309665
80175,3595657.73834648,5383794.59265311
80179,3540040.40856341,5400020.09390347
80180,3556044.73288699,5391724.52213954
80191,3508011.78239971,5448013.09013142
80192,3524108.38491793,5439774.46279125
80193,3524016.30032758,5447978.95402031
80195,3516162.54124942,5432224.90679293
80196,3499668.94242036,5416160.41216485
80200,3507924.82025556,5392113.42008374
80201,3500050.13341333,5391981.93256759
80202,0,0
80207,3540075.60082417,5343777.61653342
80217,3452405.89799525,5416158.00912124
80219,3468410.49818838,5415624.52462137
80220,3467704.14484255,5279848.05212504
80221,3451801.0019093,5272152.85457955
80223,3459967.38856646,5448012.44795782
80224,3460060.44497976,5456327.18811821
80225,3443545.33332477,5424004.50648681
80226,3436156.2335295,5407731.80563594
80229,3419674.45837747,5392127.44308458
80230,3419664.45110944,5384369.84180143
80235,3396145.0366299,5336332.41266418
80245,3475976.95683796,5439995.14178311
80247,3468023.48682438,5431985.0281042
80250,3468022.78687657,5423947.30278703
80251,3492379.92714147,5431737.79363465
80254,3492489.22702056,5415729.37840509
80255,3491671.64518649,5408396.76990917
80257,3508131.30002004,5359693.16465959
80258,3499965.5436426,5359983.79871713
80260,3407975.76259312,5300003.84194245
80261,3424010.94745708,5300018.61825908
80262,3424001.58951055,5284050.50859721
80264,3439953.99142893,5300000.12937455
80269,3439955.98545812,5316032.84084225
80279,3551665.18952575,5379824.66885436
80283,3456045.98742592,5411805.8287921
80291,3456131.50774926,5380027.57519463
80293,3456006.63735575,5396003.81987963
80294,3471997.27349368,5427967.7671448
80295,3471984.81772688,5411989.26782585
80296,3440155.99436316,5379655.09628082
80297,3472019.94142956,5395954.57031059
80298,3487985.05046602,5397016.05487913
80299,3471914.00097034,5364074.62045848
80301,3487985.98377897,5316959.42509762
80304,3487960.60493123,5331962.53518914
80306,3503983.85725801,5395969.41303034
80307,3503958.64782954,5380008.6263361
80308,3504001.11477269,5348099.56445807
80801,3455919.8463138,5408408.83762883
80802,3482215.49514039,5480541.25817519
80806,3423152.76196797,5320903.60005559
80809,3472933.33063078,5383912.64575354
80812,3531613.19956616,5402460.99882497
80826,3422767.37816091,5320984.27677702
80832,3481529.55679728,5481240.1746408
80839,3474002.12195817,5384079.17585078
80842,3531024.68463815,5402333.04990656
