"Tree.species","Bark.Type","DBH.Type.1","DBH.Type.2","DBH.Type.3"
"Abies alba","scaly","< 20 cm","20 - 40 cm","> 40 cm"
"Acer campestre","scaly","< 20 cm",">20 cm","omitted"
"Acer platanoides","scaly","< 15 cm","15 - 35 cm","> 35 cm"
"Acer pseudoplatanus","scaly","< 20 cm","20 - 40 cm","> 40 cm"
"Alnus spp.","furrowed","< 15 cm","15 - 30 cm","> 30 cm"
"Betula spp.","furrowed","< 15 cm","15 - 25 cm","> 25 cm"
"broadleaf species","?","?","?","?"
"Carpinus betulus","smooth","< 30 cm",">30 cm","omitted"
"Castanea sativa","furrowed","< 20 cm","20 - 35 cm","> 35 cm"
"conifer species","?","?","?","?"
"Fagus sylvatica","smooth","omitted","omitted","omitted"
"Fraxinus excelsior","furrowed","< 20 cm","20 - 35 cm","> 35 cm"
"Larix decidua","furrowed","< 10 cm","10 - 30 cm","> 30 cm"
"Larix kaempferi","furrowed","< 10 cm","10 - 30 cm","> 30 cm"
"Malus sylvestris","scaly","< 20 cm","20 - 40 cm","> 40 cm"
"Picea abies","scaly","< 20 cm","20 - 40 cm","> 40 cm"
"Pinus nigra","scaly","< 15 cm","15 - 30 cm","> 30 cm"
"Pinus spp.","scaly","< 15 cm","15 - 30 cm","> 30 cm"
"Populus balsamifera","furrowed","< 15 cm","15 - 25 cm","> 25 cm"
"Populus spp.","furrowed","< 15 cm","15 - 25 cm","> 25 cm"
"Prunus avium","smooth","omitted","omitted","omitted"
"Pseudotsuga menziesii","furrowed","< 20 cm","20 - 35 cm","> 35 cm"
"Pyrus pyraster","scaly","< 20 cm","20 - 40 cm","> 40 cm"
"Quercus rubra","furrowed","< 20 cm","20 - 40 cm","> 40 cm"
"Quercus spp.","furrowed","< 10 cm","10 - 30 cm","> 30 cm"
"Robinia pseudoacacia","furrowed","< 10 cm","10 - 25 cm","> 25 cm"
"Salix spp.","furrowed","< 20 cm","20 - 35 cm","> 35 cm"
"Sorbus aria","smooth/scaly","< 20 cm",">20 cm","omitted"
"Sorbus domestica","scaly","< 20 cm","20 - 40 cm","> 40 cm"
"Sorbus spp.","smooth","omitted","omitted","omitted"
"Sorbus torminalis","scaly","< 15 cm",">15 cm","omitted"
"Taxus baccata","scaly","< 20 cm",">20 cm","omitted"
"Tilia spp.","furrowed","< 20 cm","20 - 35 cm","> 35 cm"
"Ulmus spp.","furrowed","< 20 cm","20 - 35 cm","> 35 cm"
